wheel_base,length,width,height,curb_weight,engine_size,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,make_encoded,encoded_aspiration_1,encoded_aspiration_2,encoded_fuel_type_1,encoded_fuel_type_2,encoded_num_of_doors_1,encoded_num_of_doors_2,encoded_body_style_1,encoded_body_style_2,encoded_body_style_3,encoded_body_style_4,encoded_body_style_5,encoded_drive_wheels_1,encoded_drive_wheels_2,encoded_drive_wheels_3,encoded_engine_type_1,encoded_engine_type_2,encoded_engine_type_3,encoded_engine_type_4,encoded_engine_type_5,encoded_engine_type_6,encoded_num_of_cylinders_1,encoded_num_of_cylinders_2,encoded_num_of_cylinders_3,encoded_num_of_cylinders_4,encoded_fuel_system_1,encoded_fuel_system_2,encoded_fuel_system_3,encoded_fuel_system_4
88.6,168.8,64.1,48.8,2548,130.0,3.47,2.68,9.0,111.0,5000.0,21,27,13495.0,12003.22718191832,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
88.6,168.8,64.1,48.8,2548,130.0,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,12003.22718191832,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
94.5,171.2,65.5,52.4,2823,152.0,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,12003.22718191832,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
99.8,176.6,66.2,54.3,2337,109.0,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,11998.132337639825,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
105.8,192.7,71.4,55.7,2844,136.0,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,11998.132337639825,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
101.2,176.8,64.8,54.3,2395,108.0,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,12395.997895425033,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
101.2,176.8,64.8,54.3,2395,108.0,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,12395.997895425033,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
101.2,176.8,64.8,54.3,2765,164.0,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,12395.997895425033,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
103.5,189.0,66.9,55.7,3055,164.0,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,12395.997895425033,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
103.5,189.0,66.9,55.7,3230,209.0,3.62,3.39,8.0,95.0,5400.0,16,22,10221.5,12395.997895425033,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
110.0,197.0,70.9,56.3,3505,209.0,3.62,3.39,8.0,95.0,5400.0,15,20,10221.5,12395.997895425033,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
94.5,155.9,63.6,52.0,1874,90.0,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,10665.44158289974,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
94.5,158.8,63.6,52.0,1909,90.0,3.03,3.11,9.6,70.0,5400.0,38,43,6575.0,10665.44158289974,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93.7,157.3,63.8,50.8,1876,90.0,2.97,3.23,9.41,68.0,5500.0,37,41,5572.0,10786.961644960536,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93.7,157.3,63.8,50.8,2128,98.0,3.03,3.39,7.6,102.0,5500.0,24,30,7957.0,10786.961644960536,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
93.7,157.3,63.8,50.6,1989,90.0,2.97,3.23,9.4,68.0,5500.0,31,38,6692.0,10786.961644960536,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
93.7,157.3,63.8,50.6,2191,98.0,3.03,3.39,7.6,102.0,5500.0,24,30,8558.0,10786.961644960536,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
103.3,174.6,64.6,59.8,2535,122.0,3.34,3.46,8.5,88.0,5000.0,24,30,8921.0,10786.961644960536,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
95.9,173.2,66.3,50.2,2811,156.0,3.6,3.9,7.0,145.0,5000.0,19,24,12964.0,10786.961644960536,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
86.6,144.6,63.9,50.8,1819,92.0,2.91,3.41,9.2,76.0,6000.0,31,38,6855.0,10607.677901014984,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
93.7,150.0,64.0,52.6,1837,79.0,2.91,3.07,10.1,60.0,5500.0,38,42,5399.0,10607.677901014984,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
93.7,150.0,64.0,52.6,1956,92.0,2.91,3.41,9.2,76.0,6000.0,30,34,7129.0,10607.677901014984,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
96.5,163.4,64.0,54.5,2010,92.0,2.91,3.41,9.2,76.0,6000.0,30,34,7295.0,10607.677901014984,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
96.5,157.1,63.9,58.3,2024,92.0,2.92,3.41,9.2,76.0,6000.0,30,34,7295.0,10607.677901014984,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
96.5,167.5,65.2,53.3,2289,110.0,3.15,3.58,9.0,86.0,5800.0,27,33,9095.0,10607.677901014984,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
96.5,175.4,65.2,54.1,2304,110.0,3.15,3.58,9.0,86.0,5800.0,27,33,8845.0,10607.677901014984,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
96.5,175.4,62.5,54.1,2372,110.0,3.15,3.58,9.0,86.0,5800.0,27,33,10295.0,10607.677901014984,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
96.5,175.4,65.2,54.1,2465,110.0,3.15,3.58,9.0,101.0,5800.0,24,28,12945.0,10607.677901014984,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
96.5,169.1,66.0,51.0,2293,110.0,3.15,3.58,9.1,100.0,5500.0,25,31,10345.0,10607.677901014984,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
94.3,170.7,61.8,53.5,2337,111.0,3.31,3.23,8.5,78.0,4800.0,24,29,6785.0,11017.445000450301,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
96.0,172.6,65.2,51.4,2734,119.0,3.43,3.23,9.2,90.0,5000.0,24,29,11048.0,11017.445000450301,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
113.0,199.6,69.6,52.8,4066,119.5,3.63,4.17,8.1,176.0,4750.0,15,19,10221.5,11188.139722283355,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
113.0,199.6,69.6,52.8,4066,119.5,3.63,4.17,8.1,176.0,4750.0,15,19,10221.5,11188.139722283355,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
